Classification	RDP	UTAX	SINTAX	Consensus
Colletotrichum	26	4	29	35
Collybia	0	1	0	1
Colpoda	59	0	0	57
Colpoda sp	0	0	0	2
Comoclathris	7	0	4	8
Coniella	2	0	2	2
Coniochaeta	12	0	12	12
Coniophora	1	0	1	1
Coniothyrium	42	0	0	42
Conocybe	3	0	3	3
Coprinellus	17	9	12	19
Coprinopsis	40	24	29	44
Cornuvesica	1	0	0	1
Corticifraga	37	0	0	37
Corticium	6	5	0	6
Cortinarius	2	1	3	3
Cotylidia	1	1	0	1
Crepidotus	46	23	39	47
Crocicreas	3	0	0	3
Crustoderma	3	2	3	3
Crustodontia	6	3	0	6
Cryptococcus	44	10	0	43
Cryptomarasmius	0	1	0	1
Cryptosphaeria	3	0	0	3
Cryptostroma	1	0	0	1
Ctenomyces	1	0	0	1
Cucumis	2	2	2	2
Cucurbita	1	1	0	1
Cunninghamella	1	1	1	1
Curvibasidium	3	1	0	3
Curvularia	81	37	82	96
Cutaneotrichosporon	7	7	7	7
Cyberlindnera	5	5	5	5
Cyclaneusma	4	0	0	4
Cylindrobasidium	6	3	0	6
Cyphellophora	13	0	23	23
Cystoagaricus	3	3	0	3
Cystobasidium	9	8	7	9
Cystodermella	2	2	0	2
Cystofilobasidium	8	8	8	8
Cytidia	0	1	0	1
Cytospora	22	14	1	35
Dacrymyces	0	0	1	1
Dacryobolus	4	4	0	4
Dactylella	7	7	0	7
Daedaleopsis	9	9	0	9
Daldinia	2	0	15	17
Datronia	3	4	0	4
Debaryomyces	1	1	1	1
Deconica	1	0	0	1
Delicatula	1	1	0	1
Dematiopleospora	1	0	0	1
Dendrophoma	6	6	0	0
Dendrophoma cytisporoides	0	0	0	6
Dendrothele	7	12	0	5
Deniquelata	1	0	0	1
Dentocorticium	1	1	0	1
Desmazierella	1	0	0	1
Desmodesmus	1	0	0	1
Devriesia	7	1	0	7
Diaporthe	57	3	56	61
Diatrype	17	1	0	18
Diatrypella	80	65	0	83
Dichostereum	25	25	25	25
Dichotomophthora	1	0	0	1
Didymella	13	0	33	35
Didymella glomerata	0	0	0	7
Didymocyrtis	7	8	0	10
Digitaria	1	1	0	1
Dioszegia	166	42	181	180
Diplodia	25	21	26	26
Diplomitoporus	1	1	0	1
Diplosphaera	2	0	0	2
Dissoconium	34	27	0	34
Donadinia	13	11	0	13
Dothidea	1	0	0	1
Dothiora	4	0	0	4
Ductifera	3	3	0	3
Duportella	3	0	0	3
Echinodium	1	0	0	1
Edenia	3	3	0	3
Efibula	7	7	0	7
Eichleriella	4	0	0	4
Elmerina	4	4	0	4
Endoconidioma	1	0	0	1
Endoperplexa	0	1	0	1
Endosporium	2	0	0	2
Entoloma	10	5	12	12
Entyloma	7	7	10	10
Epicoccum	5	0	0	5
Epulorhiza	2	0	0	2
Erysiphe	5	1	5	5
Erythranthe	0	2	0	2
Erythrobasidium	41	0	0	41
Euoidium	5	0	0	0
Euoidium mutisiae	0	0	0	5
Eustigmatos	2	0	0	2
Eutypa	23	10	20	41
Eutypella	46	2	0	48
Exidia	19	7	0	19
Exobasidium	21	10	23	24
Exophiala	6	2	5	6
Exserohilum	3	0	0	3
Fenestella	12	1	1	13
Fibricium	1	1	0	1
Fibroporia	1	1	0	1
Fibulobasidium	1	1	0	1
Filobasidium	33	20	81	80
Fitzroyomyces	8	0	0	7
Flabellascoma	1	0	0	1
Flammulina	7	5	8	7
Flavodon	1	0	0	1
Flavopunctelia	2	0	0	2
Fomitiporella	4	0	0	4
Fomitopsis	1	0	0	1
Fonsecazyma	20	0	0	20
Fraxinus	4	3	4	4
Funalia	0	1	0	1
Funaria	1	1	0	1
Fusariella	1	0	0	1
Fusarium	96	40	79	97
Fuscoboletinus	1	1	0	1
Fuscoporia	13	3	20	22
Gaeumannomyces	7	5	7	7
Galerina	4	0	3	4
Galzinia	4	4	0	4
Ganoderma	20	4	26	27
Geastrum	1	1	1	1
Geastrumia	1	1	0	1
Geminibasidium	1	0	0	1
Genolevuria	29	18	0	29
Gerhardtia	1	0	0	1
Gerronema	1	1	0	1
Gibberella	22	19	0	22
Gibellulopsis	4	0	0	4
Gloeocystidiellum	21	21	0	21
Gloeodontia	1	1	0	1
Gloeophyllum	4	4	0	4
Gloeoporus	6	6	0	6
Gloiothele	5	1	0	5
Glomosporium	0	1	0	1
Goffeauzyma	1	0	0	1
Golovinomyces	3	3	8	3
Golubevia	15	1	0	15
Gossypium	1	1	1	1
Granulobasidium	2	2	0	2
Graphostroma	33	14	0	33
Grifola	3	3	0	3
Gymnopilus	2	2	2	2
Gymnopus	2	2	3	3
Gymnosporangium	0	1	0	1
Hannaella	118	60	99	128
Hanseniaspora	2	1	1	2
Hansfordia	26	0	0	26
Hapalopilus	2	2	0	2
Hastodontia	1	0	0	1
Hebeloma	1	0	0	1
Helicogloea	2	1	0	2
Helicoma	2	0	0	2
Helminthosporium	1	0	0	1
Helvellosebacina	1	0	1	1
Henningsomyces	0	2	0	2
Hericium	1	0	0	1
Heterocephalacria	2	0	0	2
Heterochaete	5	0	0	5
Heteroconium	1	0	0	1
Heteroradulum	1	1	0	1
Hirsutella	4	1	0	5
Hohenbuehelia	22	11	15	22
Holtermanniella	4	4	0	4
Homophron	2	2	0	2
Hormonema	12	0	0	12
Houjia	1	0	0	1
Humicola	1	0	0	1
Hyalorbilia	12	3	0	12
Hyaloscypha	1	0	1	1
Hydnellum	1	1	1	1
Hydnophlebia	1	0	1	1
Hydnum	1	0	0	1
Hygrocybe	0	0	2	2
Hygrophorus	3	4	4	4
Hymenochaete	2	1	5	5
Hymenochaetopsis	10	0	4	11
Hymenoscyphus	2	0	1	2
Hyperphyscia	5	5	0	5
Hyphoderma	47	41	58	58
Hyphodermella	1	1	0	1
Hyphodontia	29	24	0	29
Hypholoma	5	2	3	5
Hyphopichia	1	1	0	1
Hyphozyma	7	7	0	7
Hypochnicium	3	3	4	6
Hypoxylon	19	10	21	23
Hypsizygus	5	1	0	5
Hysterobrevium	4	0	0	4
Hysteropatella	5	3	0	6
Idriella	11	0	0	11
Inocybe	5	2	3	5
Insolibasidium	3	3	0	3
Irpex	2	0	0	2
Itersonilia	6	6	0	6
Juglans	2	0	0	2
Junghuhnia	2	2	0	3
Kalmanozyma	2	0	0	2
Kalmusia	7	0	0	7
Kazachstania	1	1	1	1
Keissleriella	56	24	21	57
Knufia	6	0	3	9
Kockovaella	0	0	1	1
Kondoa	35	20	16	39
Kriegeria	3	1	0	3
Kurtzmanomyces	6	5	0	6
Kwoniella	17	8	10	17
Laccaria	3	3	1	3
Lachancea	5	5	5	5
Lachnella	2	2	0	2
Lacrymaria	1	1	0	1
Lactarius	2	2	2	2
Laetiporus	6	5	6	6
Laetisaria	2	6	0	6
Lambiella	1	0	0	1
Lanzia	1	0	0	1
Lapidomyces	17	0	0	17
Laportea	1	1	0	1
Lecania	8	7	0	8
Lecanora	3	0	1	4
Lectera	10	10	0	10
Lentinellus	6	6	21	6
Lentinus	5	2	3	5
Lenzites	5	5	0	5
Leohumicola	0	0	2	2
Lepista	1	1	0	2
Leptodontidium	1	0	0	1
Leptoporus	2	2	0	2
Leptosillia	4	4	0	4
Leptosphaeria	4	4	0	4
Leptospora	54	5	0	54
Leptosporomyces	1	0	0	1
Leucoagaricus	1	1	0	1
Leucogyrophana	3	2	0	3
Leucopaxillus	2	2	0	2
Leucosporidium	6	4	7	7
Limonomyces	16	0	0	16
Lopadostoma	5	5	5	5
Lopharia	5	1	0	5
Lophiostoma	7	0	0	7
Lophiotrema	11	6	0	11
Lophium	6	6	0	6
Lophodermium	3	0	0	3
Lotus	12	12	12	12
Loweomyces	1	1	0	1
Lycoperdon	9	11	16	19
Lyomyces	11	0	0	11
Lyophyllum	2	1	1	2
Macalpinomyces	9	0	0	9
Macrophomina	1	1	0	1
Malassezia	14	10	1	14
Marasmius	6	6	4	6
Marchandiobasidium	1	0	0	1
Marchandiomyces	1	0	0	1
Marthamyces	1	0	0	1
Massaria	11	11	11	11
Massariosphaeria	4	4	0	4
Megacollybia	1	0	1	1
Melanconiella	0	0	5	5
Melanelixia	4	0	0	4
Melanoleuca	2	1	2	2
Melanoporia	2	2	0	2
Merismodes	12	7	0	12
Meristemomyces	2	0	0	2
Merulius	24	24	0	24
Metarhizium	8	7	5	8
Metschnikowia	117	35	101	119
Metuloidea	1	0	0	1
Meyerozyma	3	0	3	3
Microbotryum	4	2	4	4
Microcyclospora	3	0	0	3
Microdochium	20	5	0	20
Microstroma	4	2	0	4
Mitrophora	0	1	0	0
Moesziomyces	5	5	5	5
Mollisia	12	6	0	12
Monilinia	0	2	0	2
Montagnula	4	0	0	4
Morchella	1	0	0	1
Moristroma	5	0	0	5
Mortierella	6	2	6	6
Morus	1	1	0	1
Mrakia	3	3	0	3
Mrakiella	1	0	0	0
Mrakiella aquatica	0	0	0	1
Mucor	49	36	51	51
Mucronella	3	3	0	3
Muriphaeosphaeria	6	1	0	6
Myceliophthora	1	0	0	1
Mycena	56	43	34	66
Mycoacia	14	10	0	14
Mycocalicium	2	0	0	2
Mycosphaerella	5	0	0	5
Myrmecia	1	0	0	1
Myrmecridium	3	0	0	3
Myxarium	6	6	0	6
Myxozyma	1	1	0	1
Naganishia	9	3	9	9
Nakazawaea	1	0	0	1
Naohidea	3	0	0	3
Nectria	3	3	0	3
Nemania	0	0	2	2
Nematoctonus	1	1	0	1
Neoascochyta	82	4	36	82
Neocamarosporium	2	0	0	2
Neocatenulostroma	12	0	0	12
Neocladophialophora	1	0	0	1
Neocucurbitaria	15	6	0	15
Neodendryphiella	5	3	0	8
Neodevriesia	29	15	0	29
Neofavolus	7	3	0	7
Neofitzroyomyces	3	0	0	3
Neofusicoccum	3	0	3	3
Neopestalotiopsis	3	0	3	3
Neophaeomoniella	1	0	0	1
Neophaeothecoidea	0	1	0	1
Neosetophoma	8	0	0	8
Nigrograna	8	0	0	8
Nigrospora	26	16	40	71
Noosia	0	1	0	1
Oberwinklerozyma	1	1	0	1
Occultibambusa	1	0	0	1
Occultifur	2	2	0	2
Ochroconis	1	1	0	1
Odonticium	1	1	0	1
Omphalotus	2	2	2	2
Oomyces	5	0	0	5
Opercularia_al	1	0	0	1
Ophiobolus	1	2	0	2
Ophioceras	6	0	0	6
Ophiosphaerella	27	0	0	27
Orbilia	59	21	47	66
Ossicaulis	2	2	0	2
Ovicuculispora	0	1	0	1
Oxyporus	2	2	0	2
Panaeolus	3	3	0	3
Pandora	1	0	0	1
Panellus	5	2	0	5
Panicum	138	188	23	203
Panus	1	1	0	1
Papiliotrema	111	42	95	112
Parafenestella	14	0	0	14
Paraophiobolus	11	5	0	11
Paraphaeosphaeria	36	0	1	36
Paraphoma	14	0	5	14
Parapterulicium	1	0	0	0
Parapterulicium sp	0	0	0	1
Parapyrenochaeta_acaciae	8	0	0	8
Parasola	2	2	2	2
Parathyridaria	8	0	0	8
Parmelia	7	0	7	7
Parmotrema	1	0	1	1
Passalora	2	0	0	2
Patellaria	3	0	0	3
Paulisebacina	1	0	0	1
Paxillus	1	1	0	1
Peltaster	15	0	0	15
Penicillium	43	29	43	43
Peniophora	107	34	68	126
Peniophorella	22	11	23	23
Perenniporia	2	2	0	2
Periconia	52	29	62	102
Perusta	14	0	0	14
Pestalotiopsis	14	7	14	14
Petrophila	7	0	0	3
Petrophila incerta	0	0	0	3
Phaeoacremonium	0	0	4	4
Phaeobotryon	3	0	0	3
Phaeococcomyces	9	6	0	9
Phaeodactylium	0	19	0	19
Phaeomarasmius	2	0	0	2
Phaeomoniella	8	0	0	8
Phaeophyscia	26	5	30	30
Phaeoseptum	4	0	0	4
Phaeosphaeria	73	1	1	73
Phaeotheca	2	1	0	2
Phaeothecoidiella	4	0	0	4
Phaffia	1	0	0	1
Phanerochaete	25	9	14	25
Phellinopsis	4	4	0	4
Phellinus	10	9	1	10
Phialocephala	4	4	4	4
Phialophora	3	3	0	3
Phlebia	27	23	4	27
Phlebiopsis	3	0	7	6
Phleum	24	8	0	24
Pholiota	20	9	4	20
Phoma	2	0	0	2
Phomatospora	4	0	0	4
Phyllosticta	3	3	2	3
Phyllotopsis	5	5	0	5
Phyllozyma	26	26	0	26
Physalacria	1	1	0	1
Physcia	85	85	95	95
Physciella	5	0	0	5
Physisporinus	3	3	0	3
Physoderma	1	1	0	1
Phytolacca	1	1	0	1
Piniphoma	7	6	0	7
Piptoporus	7	0	0	7
Piskurozyma	1	0	0	1
Pisum	3	0	0	3
Plantago	0	0	4	4
Plectania	1	1	0	1
Plectosphaerella	31	3	6	31
Plenodomus	5	0	0	5
Pleomonodictys	5	4	0	5
Pleospora	6	0	0	6
Pleurophoma	10	0	0	10
Pleurotus	7	3	6	9
Plicaturopsis	1	1	0	1
Pluteus	24	20	24	24
Podoscypha	0	0	1	0
Podospora	1	0	0	1
Polyporus	5	5	0	5
Porodisculus	3	3	0	3
Porotheleum	3	3	0	3
Postia	12	17	0	17
Powellomyces	4	0	0	4
Praetumpfia	4	4	0	4
Preussia	6	1	0	6
Protomyces	8	7	0	7
Psathyrella	46	39	43	46
Pseudapiospora	1	0	0	1
Pseudocercospora	7	3	7	7
Pseudocoleophoma	6	0	0	6
Pseudogymnoascus	1	0	0	1
Pseudohalonectria	2	2	0	2
Pseudolophiotrema_elymicola	3	0	0	3
Pseudomicrostroma	48	0	0	48
Pseudoomphalina	1	1	0	1
Pseudoophiobolus	11	1	0	11
Pseudopithomyces	8	0	0	8
Pseudorobillarda	24	3	0	23
Pseudorobillarda phragmitis	0	0	0	1
Pseudosplanchnonema	4	0	0	4
Pseudotrichia	1	0	0	1
Pseudoveronaea	2	2	0	2
Pseudozyma	5	0	0	5
Pterula	1	0	0	1
Puccinia	10	10	12	10
Punctularia	2	2	0	2
Pyrenochaeta	5	4	0	5
Pyrenochaetopsis	20	1	0	20
Pyrenopeziza	6	0	0	6
Pyrenophora	13	0	0	13
Pyxidiophora	5	0	0	5
Quambalaria	2	2	0	2
Rachicladosporium	10	2	6	12
Radulidium	6	0	0	6
Radulodon	1	1	0	1
Ramichloridium	7	0	0	7
Ramularia	70	44	95	95
Resinicium	6	6	6	6
Resupinatus	19	12	13	19
Rhamphoria	6	0	0	6
Rhinocladiella	11	0	1	11
Rhizochaete	1	1	0	1
Rhizoctonia	2	0	0	2
Rhizomarasmius	4	0	0	4
Rhizophlyctis	6	5	6	6
Rhizopus	6	6	6	6
Rhodonia	2	2	0	2
Rhodosporidiobolus	33	19	45	45
Rhodotorula	50	32	31	51
Rhodotus	1	1	0	1
Rhytidhysteron	0	0	1	1
Rigidoporus	10	6	0	11
Robillarda	3	1	0	3
Roussoella	1	0	0	1
Ruinenia	1	0	1	1
Russula	3	1	4	4
Saccharomyces	6	6	6	6
Saitoella	1	1	0	1
Saitozyma	32	6	0	32
Sakaguchia	3	0	3	3
Sampaiozyma	3	1	0	3
Sarcinomyces	3	3	0	3
Sarcodontia	5	5	0	5
Sarcoporia	5	5	0	5
Sarocladium	2	2	0	4
Sawadaea	1	0	1	1
Schizophyllum	11	0	12	12
Schizoxylon	0	3	0	3
Sclerencoelia	1	0	0	1
Scleria	0	0	1	1
Scleroderma	1	1	1	1
Scleroramularia	5	5	0	5
Sclerostagonospora	3	3	0	3
Scopuloides	17	17	0	17
Sebacina	3	0	2	3
Seimatosporium	12	0	0	12
Septoriella	23	0	0	23
Serendipita	3	0	1	4
Serpula	2	0	0	2
Setomelanomma	5	0	0	5
Setophaeosphaeria	9	9	0	9
Setophoma	6	0	0	6
Setoseptoria	1	1	0	1
Sidera	4	0	0	4
Sigarispora	14	0	0	14
Simocybe	3	0	0	3
Simplicillium	5	5	5	5
Singerocybe	1	0	0	1
Sirobasidium	1	0	0	1
Sistotrema	39	23	4	45
Sistotremastrum	12	6	0	12
Skeletocutis	17	15	29	33
Skvortzovia	5	5	0	5
Solicoccozyma	1	1	0	1
Spadicoides	6	0	0	6
Spegazzinia	5	1	0	5
Sphacelotheca	2	2	0	2
Sphaerellopsis	5	2	0	5
Sphagnurus	1	1	0	1
Spongiochloris	1	0	0	1
Sporidiobolus	1	1	0	1
Sporisorium	5	0	0	5
Sporobolomyces	74	10	71	78
Sporormiella	3	0	0	3
Stagonospora	19	2	10	19
Stagonosporopsis	12	0	19	19
Steccherinum	41	20	17	42
Stemphylium	8	0	9	15
Stenocarpella	4	1	0	4
Sterellum	3	0	0	3
Stereum	36	41	17	41
Sterigmatomyces	1	1	0	1
Strelitziana	6	5	0	6
Striaticonidium	3	4	0	4
Strickeria	2	2	0	2
Stypella	1	1	0	2
Suhomyces	2	0	0	2
Suillus	5	4	5	5
Suttonomyces	1	0	0	0
Suttonomyces rosae	0	0	0	1
Symmetrospora	29	12	11	31
Sympodiomycopsis	1	1	0	1
Synfenestella	0	8	0	8
Talaromyces	2	1	13	13
Taphrina	87	44	97	93
Tapinella	1	1	0	1
Teichospora	29	19	33	33
Terana	2	0	0	2
Tetracystis	1	0	0	1
Tetrahymena	1	0	0	1
Tetraplosphaeria	6	5	0	6
Thanatephorus	9	0	0	9
Thecaphora	1	3	0	3
Thermomyces	4	0	4	4
Therrya	5	0	0	5
Thielavia	0	0	1	1
Thyronectria	0	1	0	1
Thyrostroma	3	0	0	3
Tiarosporella	6	6	0	6
Tilia	0	1	0	1
Tilletia	68	62	75	76
Tilletiopsis	25	25	0	25
Tomentella	6	0	4	6
Torula	2	0	0	2
Toxicocladosporium	4	4	4	4
Trametes	10	21	1	24
Tranzscheliella	3	1	3	3
Trebouxia	57	22	58	58
Trechispora	16	4	17	18
Tremella	2	1	0	2
Trichaptum	12	7	7	12
Tricharina	1	1	0	1
Trichoderma	16	0	16	16
Tricholoma	9	9	9	9
Tricholomopsis	5	0	5	5
Trichomerium	2	0	0	2
Trichopeziza	4	0	0	4
Trichosporon	5	5	5	5
Tricladium	12	5	0	12
Trifolium	0	0	3	3
Triticum	0	1	0	1
Trullula	0	2	0	2
Tubaria	8	6	2	8
Tubulicrinis	9	9	0	9
Tulostoma	3	1	4	4
Tylopilus	2	2	0	2
Typhula	16	8	12	19
Tyromyces	15	15	0	15
Udeniomyces	7	7	5	7
Udeniozyma	1	1	0	1
Uncobasidium	1	0	0	1
Unidentified	10623	14931	14433	9665
Urnula	6	2	0	6
Urocystis	3	3	0	3
Usnea	1	0	1	1
Ustilaginoidea	4	0	0	0
Ustilaginoidea virens	0	0	0	4
Ustilago	22	14	1	24
Ustilentyloma	14	14	0	14
Uwebraunia	11	5	0	11
Valsa	3	0	0	3
Vararia	9	2	5	14
Vargamyces	1	0	0	1
Veluticeps	1	1	0	1
Venturia	2	2	6	8
Vermispora	1	1	0	1
Veronaea	1	0	0	1
Vishniacozyma	144	65	79	164
Vitex	0	1	0	1
Wallemia	29	17	28	31
Wickerhamiella	1	0	0	1
Wickerhamomyces	1	1	1	1
Wrightoporia	3	3	0	3
Xanthoria	1	1	0	1
Xenasma	3	0	0	3
Xenasmatella	16	10	38	38
Xenomeris	7	0	0	7
Xenopenidiella	2	0	0	2
Xeromphalina	2	1	3	3
Xylaria	3	0	3	6
Xylobolus	4	3	0	4
Xylodon	84	44	26	87
Xylodon radula	0	0	0	4
Yurkovia	1	0	0	1
Zasmidium	2	1	2	2
Zygophiala	11	8	14	14
Zymoseptoria	33	12	0	42
Abortiporus biennis	1	0	0	1
Absconditella rubra	1	0	0	1
Acanthophysellum sp	2	0	0	2
Acericola italica	10	0	0	10
Achroceratosphaeria potamia	1	0	0	1
Acremonium charticola	1	0	0	1
Acremonium fusidioides	17	0	0	17
Acremonium persicinum	2	0	0	2
Acremonium rutilum	1	0	0	1
Acremonium sp	1	0	0	1
Acrospermum sp	1	0	0	1
Actinochloris sphaerica	1	0	0	1
Acutodesmus sp	2	0	0	2
Agaricus bellanniae	1	0	0	1
Agaricus deserticola	1	0	0	1
Agaricus porphyrocephalus var. pallidus	1	0	0	1
Agrocybe pediades	5	0	0	5
Akenomyces costatus	1	0	0	0
Aleurodiscus canadensis	1	0	0	1
Alfaria ossiformis	1	0	0	1
Allovahlkampfia sp	4	0	0	4
Alternaria armoraciae	4	0	0	4
Alternaria rosae	1	0	0	1
Alternariaster centaureae-diffusae	9	0	0	9
Alutaceodontia alutacea	3	0	0	3
Amaranthus tricolor	1	0	0	1
Amarenomyces ammophilae	1	0	0	1
Ambrosia artemisiifolia	3	0	0	3
Ambrosia sp	1	0	0	1
Ambrosia trifida	2	0	0	2
Amphobotrys ricini	5	0	0	5
Amyloxenasma allantosporum	3	0	0	3
Annulohypoxylon sp	1	0	0	1
Anteholosticha sp	3	0	0	3
Antrodia favescens	4	0	0	4
Antrodia serialiformis	8	0	0	8
Antrodia xantha	2	0	0	2
Antrodiella pallescens	1	0	0	1
Apatococcus sp	1	0	0	1
Apenidiella foetida	1	0	0	1
Aphanobasidium pseudotsugae	1	0	0	1
Aporpium macroporum	1	0	0	1
Apseudocercosporella trigonotidis	6	0	0	6
Arabis glabra	1	0	0	1
Arachnopeziza aurelia	1	0	0	1
Aristida vexativa	1	0	0	1
Arrhenia acerosa	1	0	0	1
Arrhenia elegans	2	0	0	2
Arthrinium jatrophae	1	0	0	1
Arthrinium puccinioides	1	0	0	1
Arthrocatena sp	9	0	0	9
Arthrocatena tenebrio	18	0	0	18
Artomyces pyxidatus	8	0	0	8
Ascobolus sp	3	0	0	3
Aspergillus flavus	0	0	5	5
Aspergillus penicillioides	2	0	0	2
Aspergillus sp	1	0	0	1
Athelia decipiens	1	0	0	1
Atrocalyx lignicola	4	0	0	4
Aurantiporus fissilis	3	0	0	3
Aureobasidium leucospermi	7	0	0	7
Aureobasidium pullulans	12	0	0	12
Auricularia angiospermarum	4	0	0	4
Australohydnum dregeanum	1	0	0	1
Australosphaerella nootherensis	1	0	0	1
Baeospora myosura	4	0	0	4
Ballistosporomyces sasicola	1	0	0	1
Baltazaria galactina	1	0	0	0
Bannoa hahajimensis	2	0	0	2
Bannozyma yamatoana	8	0	0	8
Barbatosphaeria arboricola	1	0	0	1
Barbatosphaeria dryina	4	0	0	4
Barbatosphaeria neglecta	5	0	0	5
Basidiodendron eyrei	3	0	0	3
Basiseptospora fallax	1	0	0	1
Batrachochytrium dendrobatidis	3	0	3	3
Bensingtonia pseudonaganoensis	1	0	0	1
Bensingtonia sp	1	0	0	1
Betula nigra	1	0	0	1
Biatriospora antibiotica	1	0	0	1
Biatriospora mackinnonii	4	0	0	4
Bipolaris brizae	2	0	0	2
Bipolaris yamadae	1	0	0	1
Bjerkandera adusta	54	0	0	54
Blakeslea trispora	5	0	0	5
Blumeria graminis	2	0	0	2
Bolbitius titubans	1	0	0	1
Boletus bicolor	1	0	0	1
Boletus sp	2	0	0	2
Botryobasidium candicans	4	0	0	4
Botryobasidium laeve	3	0	0	3
Botryobasidium sp	1	0	0	1
Botryobasidium subcoronatum	3	0	0	3
Bovista plumbea	1	0	0	1
Brevicellicium olivascens	4	0	0	4
Brunneoporus cyclopis	1	0	0	1
Buckleyzyma aurantiaca	10	0	0	10
Bullera penniseticola	7	0	0	7
Bullera unica	6	0	0	6
Bulleromyces albus	29	0	0	28
Burgoa verzuoliana	5	0	0	5
Byssomerulius corium	9	0	0	9
Cabalodontia sp	5	0	0	5
Caliciopsis valentina	7	0	0	7
Callistosporium luteo-olivaceum	1	0	0	1
Calvatia cyathiformis	1	0	0	1
Calvatia fenzlii	1	0	0	1
Calvatia fragilis	3	0	0	3
Calvatia gigantea	3	0	0	3
Calyptella capula	2	0	0	2
Calyptosphaeria sp	1	0	0	1
Camarosporioides phragmitis	2	0	0	2
Candelaria fibrosa	4	0	0	4
Candida sake	2	0	0	2
Candida sequanensis	2	0	0	2
Candida tropicalis	10	0	10	10
Capnobotryella renispora	5	0	0	5
Capnocheirides sp	1	0	0	1
Capronia epimyces	1	0	0	1
Capronia semi-immersa	2	0	0	2
Cartilosoma rene-hentic	2	0	0	2
Catenulomyces convolutus	3	0	0	3
Catinella olivacea	1	0	0	1
Celerioriella prunicola	2	0	0	2
Cellypha goldbachii	1	0	0	1
Celosporium sp	7	0	0	7
Cephaloascus fragrans	1	0	0	1
Ceraceomyces serpens	1	0	0	1
Ceratobasidium sp	19	0	0	19
Ceratorhiza sp	1	0	0	1
Cercospora zeae-maydis	5	0	0	5
Ceriporia alachuana	1	0	0	1
Ceriporia aurantiocarnescens	2	0	0	2
Ceriporia humilis	4	0	0	4
Ceriporia lacerata	1	0	0	1
Ceriporia pierii	3	0	0	3
Ceriporia purpurea	7	0	0	7
Ceriporia reticulata	3	0	0	3
Ceriporia spissa	10	0	0	10
Ceriporia tarda	1	0	0	1
Ceriporia torpida	3	0	0	3
Ceriporia viridans	3	0	0	3
Ceriporiopsis aneirina	3	0	0	3
Ceriporiopsis gilvescens	1	0	0	1
Ceriporiopsis sp	2	0	0	0
Ceriporiopsis subrufa	4	0	0	3
Chaetospermum sp	1	0	0	1
Chaetosphaeronema sp	4	0	0	4
Chalara sp	1	0	0	1
Chloroidium sp	3	0	0	3
Choanephora cucurbitarum	2	0	0	2
Chondrostereum purpureum	3	0	0	3
Chrysosporium lobatum	1	0	0	1
Chrysozyma griseoflava	14	0	0	14
Cinereomyces lindbladii	2	0	0	2
Cistella sp	7	0	0	7
Cladophialophora sp	11	0	0	11
Cladorrhinum sp	4	0	0	4
Cladosporium halotolerans	3	0	0	3
Clavaria acuta	1	0	0	1
Clavaria californica	1	0	0	1
Clavaria sphagnicola	1	0	0	1
Clavulina sp	2	0	0	2
Climacodon septentrionalis	3	0	0	3
Clitocella popinalis	1	0	0	1
Clitocybe cokeri	1	0	0	1
Clitocybe nebularis	1	0	0	1
Clitocybe sp	1	0	0	1
Clitocybe subditopoda	3	0	0	3
Clitopilus hobsonii	2	0	0	2
Clitopilus sp	1	0	0	1
Colacogloea diffluens	1	0	0	1
Colletotrichum cairnsense	6	0	0	6
Colletotrichum cliviae	2	0	0	2
Colpoda sp	59	0	0	57
Comoclathris lini	3	0	0	3
Comoclathris sp	3	0	0	3
Coniochaeta prunicola	4	0	0	4
Coniophora eremophila	1	0	0	1
Coniothyrium glycines	2	0	0	2
Coniothyrium sp	40	0	0	40
Coprinellus curtus	2	0	0	2
Coprinellus disseminatus	6	0	0	6
Coprinellus micaceus	2	0	0	2
Coprinellus sp	2	0	0	2
Coprinellus verrucispermus	1	0	0	1
Coprinopsis atramentaria	4	0	0	4
Coprinopsis brunneofibrillosa	6	0	0	6
Coprinopsis echinospora	1	0	0	1
Coprinopsis friesii	2	0	0	2
Coprinopsis neophlyctidospora	3	0	0	3
Coprinopsis radiata	1	0	0	1
Coprinopsis romagnesiana	2	0	0	2
Coprinopsis scobicola	1	0	0	1
Coprinopsis sp	1	0	0	1
Coprinopsis strossmayeri	3	0	0	3
Coprinopsis urticicola	7	0	0	7
Corticifraga peltigerae	37	0	0	37
Corticium boreoroseum	1	0	0	1
Corticium roseum	5	0	0	5
Cortinarius sp	2	0	0	2
Cotylidia carpatica	1	0	0	1
Crepidotus applanatus	9	0	0	9
Crepidotus crocophyllus	14	0	0	14
Crepidotus epibryus	1	0	0	1
Crepidotus malachioides	1	0	0	1
Crepidotus mollis	1	0	0	1
Crepidotus sp	8	0	0	8
Crepidotus subverrucisporus	4	0	0	4
Crocicreas cyathoideum	3	0	0	3
Crustoderma corneum	1	0	0	1
Crustoderma marianum	1	0	0	1
Crustodontia chrysocreas	6	0	0	6
Cryptococcus aspenensis	10	0	0	10
Cryptococcus cuniculi	5	0	0	5
Cryptococcus sp	26	0	0	25
Cryptosphaeria sp	3	0	0	3
Cryptostroma corticale	1	0	0	1
Ctenomyces serratus	1	0	0	1
Cucumis maderaspatanus	2	0	0	2
Cucurbita pepo	1	0	0	1
Cunninghamella elegans	1	0	0	1
Curvibasidium cygneicollum	3	0	0	3
